symbol,entry_time,exit_time,side,entry_px,exit_px,leverage,ret_gross,signal_date
GBPUSD,2022-01-03 00:00:00+00:00,2022-01-17 00:00:00+00:00,short,1.35209,1.36725,2.0,-0.02242454274493566,2022-01-02 00:00:00+00:00
GBPUSD,2022-01-17 00:00:00+00:00,2022-01-18 00:00:00+00:00,long,1.36725,1.36469,2.0,-0.003744743097458647,2022-01-16 00:00:00+00:00
EURUSD,2022-01-14 00:00:00+00:00,2022-01-20 00:00:00+00:00,short,1.14564,1.13427,1.6232621608444795,0.016110201083064414,2022-01-13 00:00:00+00:00
GBPUSD,2022-01-18 00:00:00+00:00,2022-01-21 00:00:00+00:00,short,1.36469,1.35964,2.0,0.0074009482006902605,2022-01-17 00:00:00+00:00
EURUSD,2022-01-27 00:00:00+00:00,2022-02-03 00:00:00+00:00,long,1.12405,1.12992,1.851305898122023,0.009667866751458086,2022-01-26 00:00:00+00:00
EURUSD,2022-02-04 00:00:00+00:00,2022-02-13 00:00:00+00:00,short,1.14352,1.13369,1.2958617371012413,0.011139569815748929,2022-02-03 00:00:00+00:00
GBPUSD,2022-01-21 00:00:00+00:00,2022-02-17 00:00:00+00:00,long,1.35964,1.35811,2.0,-0.002250595745932893,2022-01-20 00:00:00+00:00
GBPUSD,2022-02-17 00:00:00+00:00,2022-02-24 00:00:00+00:00,short,1.35811,1.35444,2.0,0.005404569585673924,2022-02-16 00:00:00+00:00
GBPUSD,2022-02-24 00:00:00+00:00,2022-03-08 00:00:00+00:00,long,1.35444,1.31129,1.7463506516464091,-0.055635562017175046,2022-02-23 00:00:00+00:00
EURUSD,2022-02-25 00:00:00+00:00,2022-03-09 00:00:00+00:00,long,1.11906,1.08984,1.4384070558826765,-0.03755853499623955,2022-02-24 00:00:00+00:00
EURUSD,2022-03-09 00:00:00+00:00,2022-03-11 00:00:00+00:00,short,1.08984,1.10132,0.9871941383746714,-0.010398763771325528,2022-03-08 00:00:00+00:00
EURUSD,2022-03-11 00:00:00+00:00,2022-03-20 00:00:00+00:00,long,1.10132,1.10561,0.9673026003201178,0.003767958590939318,2022-03-10 00:00:00+00:00
EURUSD,2022-03-20 00:00:00+00:00,2022-04-06 00:00:00+00:00,short,1.10561,1.09058,0.9359618181225334,0.012723750803973883,2022-03-18 00:00:00+00:00
EURUSD,2022-04-06 00:00:00+00:00,2022-04-18 00:00:00+00:00,long,1.09058,1.08138,1.3872907528567273,-0.011703015758845763,2022-04-05 00:00:00+00:00
EURUSD,2022-04-18 00:00:00+00:00,2022-04-19 00:00:00+00:00,short,1.08138,1.07799,1.388255046820152,0.004352017430246761,2022-04-17 00:00:00+00:00
EURUSD,2022-04-19 00:00:00+00:00,2022-04-26 00:00:00+00:00,long,1.07799,1.07124,1.381319880567578,-0.00864934664869908,2022-04-18 00:00:00+00:00
XAUUSD,2022-01-03 00:00:00+00:00,2022-05-11 00:00:00+00:00,long,1828.294,1833.463,1.3994242512553614,0.003956488373718135,2022-01-02 00:00:00+00:00
XAUUSD,2022-05-11 00:00:00+00:00,2022-11-11 00:00:00+00:00,short,1833.463,1751.947,0.6691621822490728,0.02975103639845222,2022-05-10 00:00:00+00:00
EURUSD,2022-04-26 00:00:00+00:00,2022-11-13 00:00:00+00:00,short,1.07124,1.03354,1.5502722412091112,0.05455851489263253,2022-04-25 00:00:00+00:00
GBPUSD,2022-03-08 00:00:00+00:00,2022-12-23 00:00:00+00:00,short,1.31129,1.20372,1.3927256174724434,0.1142504668467776,2022-03-07 00:00:00+00:00
