run,loo,lookbacks,w_tsmom,w_xsec,w_mr,w_volcarry,vc_top_q,vc_bot_q,vc_lookback,target_vol,vol_lookback,max_leverage,cagr,vol,sharpe,maxdd,mar
1,-,"(63,126,252)",1.0,0.8,0.6,0.0,0.25,0.25,42,0.1,15,2.0,0.03743974168468989,0.02654967606453099,1.4101769676469789,-0.01099950996779575,3.403764512628796
2,-,"(63,126,252)",1.0,0.8,0.6,0.0,0.25,0.25,42,0.1,15,3.0,0.03743974168468989,0.02654967606453099,1.4101769676469789,-0.01099950996779575,3.403764512628796
3,-,"(63,126,252)",1.0,0.8,0.6,0.0,0.25,0.25,42,0.1,30,2.0,0.03312012593422664,0.029058012637359073,1.1397932249380682,-0.012449908977957058,2.6602705283120405
4,-,"(63,126,252)",1.0,0.8,0.6,0.0,0.25,0.25,42,0.1,30,3.0,0.03312012593422664,0.029058012637359073,1.1397932249380682,-0.012449908977957058,2.6602705283120405
5,-,"(63,126,252)",1.0,0.8,0.6,0.0,0.25,0.25,42,0.15,15,2.0,0.05802321247122988,0.039802100803762314,1.4577927119300498,-0.016554249718357172,3.505034263611921
6,-,"(63,126,252)",1.0,0.8,0.6,0.0,0.25,0.25,42,0.15,15,3.0,0.05802321247122988,0.039802100803762314,1.4577927119300498,-0.016554249718357172,3.505034263611921
7,-,"(63,126,252)",1.0,0.8,0.6,0.0,0.25,0.25,42,0.15,30,2.0,0.05097368524704571,0.04359119576479777,1.1693573519313663,-0.01878713290753542,2.7132232202711695
8,-,"(63,126,252)",1.0,0.8,0.6,0.0,0.25,0.25,42,0.15,30,3.0,0.05097368524704571,0.04359119576479777,1.1693573519313663,-0.01878713290753542,2.7132232202711695
