symbol,position,asof_utc
GBPUSD,-1.0,2025-09-29T11:43:59.754279+00:00
USDJPY,-1.0,2025-09-29T11:43:59.754279+00:00
XAUUSD,-1.0,2025-09-29T11:43:59.754279+00:00
