symbol,position,asof_utc
EURUSD,1.0,2025-09-29T11:43:37.018486+00:00
GBPUSD,1.0,2025-09-29T11:43:37.018486+00:00
USDJPY,-1.0,2025-09-29T11:43:37.018486+00:00
XAUUSD,1.0,2025-09-29T11:43:37.018486+00:00
