run,loo,lookbacks,w_tsmom,w_xsec,w_mr,target_vol,vol_lookback,max_leverage,cagr,vol,sharpe,maxdd,mar
1,-,"(63, 126, 252)",1.0,0.8,0.6,0.1,15,2.0,0.16896652246741284,0.13160340884443564,1.2839068831958829,-0.03211675381483614,5.261008738353867
1,EURUSD,"(63, 126, 252)",1.0,0.8,0.6,0.1,15,2.0,0.16896652246741284,0.13160340884443564,1.2839068831958829,-0.03211675381483614,5.261008738353867
1,GBPUSD,"(63, 126, 252)",1.0,0.8,0.6,0.1,15,2.0,0.16896652246741284,0.13160340884443564,1.2839068831958829,-0.03211675381483614,5.261008738353867
1,USDJPY,"(63, 126, 252)",1.0,0.8,0.6,0.1,15,2.0,0.16896652246741284,0.13160340884443564,1.2839068831958829,-0.03211675381483614,5.261008738353867
1,XAUUSD,"(63, 126, 252)",1.0,0.8,0.6,0.1,15,2.0,0.16896652246741284,0.13160340884443564,1.2839068831958829,-0.03211675381483614,5.261008738353867
2,-,"(63, 126, 252)",1.0,0.8,0.6,0.1,15,3.0,0.16896652246741284,0.13160340884443564,1.2839068831958829,-0.03211675381483614,5.261008738353867
2,EURUSD,"(63, 126, 252)",1.0,0.8,0.6,0.1,15,3.0,0.16896652246741284,0.13160340884443564,1.2839068831958829,-0.03211675381483614,5.261008738353867
2,GBPUSD,"(63, 126, 252)",1.0,0.8,0.6,0.1,15,3.0,0.16896652246741284,0.13160340884443564,1.2839068831958829,-0.03211675381483614,5.261008738353867
2,USDJPY,"(63, 126, 252)",1.0,0.8,0.6,0.1,15,3.0,0.16896652246741284,0.13160340884443564,1.2839068831958829,-0.03211675381483614,5.261008738353867
2,XAUUSD,"(63, 126, 252)",1.0,0.8,0.6,0.1,15,3.0,0.16896652246741284,0.13160340884443564,1.2839068831958829,-0.03211675381483614,5.261008738353867
3,-,"(63, 126, 252)",1.0,0.8,0.6,0.1,20,2.0,0.16896652246741284,0.13160340884443564,1.2839068831958829,-0.03211675381483614,5.261008738353867
3,EURUSD,"(63, 126, 252)",1.0,0.8,0.6,0.1,20,2.0,0.16896652246741284,0.13160340884443564,1.2839068831958829,-0.03211675381483614,5.261008738353867
3,GBPUSD,"(63, 126, 252)",1.0,0.8,0.6,0.1,20,2.0,0.16896652246741284,0.13160340884443564,1.2839068831958829,-0.03211675381483614,5.261008738353867
3,USDJPY,"(63, 126, 252)",1.0,0.8,0.6,0.1,20,2.0,0.16896652246741284,0.13160340884443564,1.2839068831958829,-0.03211675381483614,5.261008738353867
3,XAUUSD,"(63, 126, 252)",1.0,0.8,0.6,0.1,20,2.0,0.16896652246741284,0.13160340884443564,1.2839068831958829,-0.03211675381483614,5.261008738353867
4,-,"(63, 126, 252)",1.0,0.8,0.6,0.1,20,3.0,0.16896652246741284,0.13160340884443564,1.2839068831958829,-0.03211675381483614,5.261008738353867
4,EURUSD,"(63, 126, 252)",1.0,0.8,0.6,0.1,20,3.0,0.16896652246741284,0.13160340884443564,1.2839068831958829,-0.03211675381483614,5.261008738353867
4,GBPUSD,"(63, 126, 252)",1.0,0.8,0.6,0.1,20,3.0,0.16896652246741284,0.13160340884443564,1.2839068831958829,-0.03211675381483614,5.261008738353867
4,USDJPY,"(63, 126, 252)",1.0,0.8,0.6,0.1,20,3.0,0.16896652246741284,0.13160340884443564,1.2839068831958829,-0.03211675381483614,5.261008738353867
4,XAUUSD,"(63, 126, 252)",1.0,0.8,0.6,0.1,20,3.0,0.16896652246741284,0.13160340884443564,1.2839068831958829,-0.03211675381483614,5.261008738353867
5,-,"(63, 126, 252)",1.0,0.8,0.6,0.1,30,2.0,0.16896652246741284,0.13160340884443564,1.2839068831958829,-0.03211675381483614,5.261008738353867
5,EURUSD,"(63, 126, 252)",1.0,0.8,0.6,0.1,30,2.0,0.16896652246741284,0.13160340884443564,1.2839068831958829,-0.03211675381483614,5.261008738353867
5,GBPUSD,"(63, 126, 252)",1.0,0.8,0.6,0.1,30,2.0,0.16896652246741284,0.13160340884443564,1.2839068831958829,-0.03211675381483614,5.261008738353867
5,USDJPY,"(63, 126, 252)",1.0,0.8,0.6,0.1,30,2.0,0.16896652246741284,0.13160340884443564,1.2839068831958829,-0.03211675381483614,5.261008738353867
5,XAUUSD,"(63, 126, 252)",1.0,0.8,0.6,0.1,30,2.0,0.16896652246741284,0.13160340884443564,1.2839068831958829,-0.03211675381483614,5.261008738353867
6,-,"(63, 126, 252)",1.0,0.8,0.6,0.1,30,3.0,0.16896652246741284,0.13160340884443564,1.2839068831958829,-0.03211675381483614,5.261008738353867
6,EURUSD,"(63, 126, 252)",1.0,0.8,0.6,0.1,30,3.0,0.16896652246741284,0.13160340884443564,1.2839068831958829,-0.03211675381483614,5.261008738353867
