ts,portfolio_equity
2022-01-02 00:00:00+00:00,1.0
2022-01-03 00:00:00+00:00,1.0
2022-01-04 00:00:00+00:00,1.0
2022-01-05 00:00:00+00:00,1.0
2022-01-06 00:00:00+00:00,1.0
2022-01-07 00:00:00+00:00,1.0
2022-01-09 00:00:00+00:00,1.0
2022-01-10 00:00:00+00:00,1.0
2022-01-11 00:00:00+00:00,1.0
2022-01-12 00:00:00+00:00,1.0
2022-01-13 00:00:00+00:00,1.0
2022-01-14 00:00:00+00:00,1.0
2022-01-16 00:00:00+00:00,1.0
2022-01-17 00:00:00+00:00,1.0
2022-01-18 00:00:00+00:00,1.0
2022-01-19 00:00:00+00:00,1.0
2022-01-20 00:00:00+00:00,1.0
2022-01-21 00:00:00+00:00,1.0
2022-01-23 00:00:00+00:00,1.0
2022-01-24 00:00:00+00:00,1.0
2022-01-25 00:00:00+00:00,1.0
2022-01-26 00:00:00+00:00,1.0
2022-01-27 00:00:00+00:00,1.0
2022-01-28 00:00:00+00:00,1.0
2022-01-30 00:00:00+00:00,1.0
2022-01-31 00:00:00+00:00,1.0
2022-02-01 00:00:00+00:00,1.0
2022-02-02 00:00:00+00:00,1.0
2022-02-03 00:00:00+00:00,1.0
2022-02-04 00:00:00+00:00,1.0
2022-02-06 00:00:00+00:00,1.0
2022-02-07 00:00:00+00:00,1.0
2022-02-08 00:00:00+00:00,1.0
2022-02-09 00:00:00+00:00,1.0
2022-02-10 00:00:00+00:00,1.0
2022-02-11 00:00:00+00:00,1.0
2022-02-13 00:00:00+00:00,1.0
2022-02-14 00:00:00+00:00,1.0
2022-02-15 00:00:00+00:00,1.0
2022-02-16 00:00:00+00:00,1.0
2022-02-17 00:00:00+00:00,1.0
2022-02-18 00:00:00+00:00,1.0
2022-02-20 00:00:00+00:00,1.0
2022-02-21 00:00:00+00:00,1.0
2022-02-22 00:00:00+00:00,1.0
2022-02-23 00:00:00+00:00,1.0
2022-02-24 00:00:00+00:00,1.0
2022-02-25 00:00:00+00:00,1.0
2022-02-27 00:00:00+00:00,1.0
2022-02-28 00:00:00+00:00,1.0
2022-03-01 00:00:00+00:00,1.0
2022-03-02 00:00:00+00:00,1.0
2022-03-03 00:00:00+00:00,1.0
2022-03-04 00:00:00+00:00,1.0
2022-03-06 00:00:00+00:00,1.0
2022-03-07 00:00:00+00:00,1.0
2022-03-08 00:00:00+00:00,1.0
2022-03-09 00:00:00+00:00,1.0
2022-03-10 00:00:00+00:00,1.0
2022-03-11 00:00:00+00:00,1.0
2022-03-13 00:00:00+00:00,1.0
2022-03-14 00:00:00+00:00,1.0
2022-03-15 00:00:00+00:00,1.0
2022-03-16 00:00:00+00:00,0.99902
2022-03-17 00:00:00+00:00,0.9997216766554219
2022-03-18 00:00:00+00:00,0.9937922552852905
2022-03-20 00:00:00+00:00,0.9940263788819081
2022-03-21 00:00:00+00:00,0.9996753806078513
2022-03-22 00:00:00+00:00,0.9872992724844091
2022-03-23 00:00:00+00:00,0.9997120120496802
2022-03-24 00:00:00+00:00,1.002521996738642
2022-03-25 00:00:00+00:00,1.0046364869986892
2022-03-27 00:00:00+00:00,1.004490543560271
2022-03-28 00:00:00+00:00,1.001157741635935
2022-03-29 00:00:00+00:00,0.9952705110172922
2022-03-30 00:00:00+00:00,0.9920510427931585
2022-03-31 00:00:00+00:00,0.9952607120515964
2022-04-01 00:00:00+00:00,0.9990308562729612
2022-04-03 00:00:00+00:00,0.9998126923378273
2022-04-04 00:00:00+00:00,1.0031790927395434
2022-04-05 00:00:00+00:00,1.0093547921733454
2022-04-06 00:00:00+00:00,1.0105480785583743
2022-04-07 00:00:00+00:00,1.0146076046538026
2022-04-08 00:00:00+00:00,1.0165797025866807
2022-04-10 00:00:00+00:00,1.016855280477496
2022-04-11 00:00:00+00:00,1.021592349694222
2022-04-12 00:00:00+00:00,1.0213067159837264
2022-04-13 00:00:00+00:00,1.0179508250256284
2022-04-14 00:00:00+00:00,1.02385385154896
2022-04-15 00:00:00+00:00,1.0244923580777756
2022-04-17 00:00:00+00:00,1.0243084328638192
2022-04-18 00:00:00+00:00,1.030827398027921
2022-04-19 00:00:00+00:00,1.036414631269763
2022-04-20 00:00:00+00:00,1.030004367636974
2022-04-21 00:00:00+00:00,1.0331794856082859
2022-04-22 00:00:00+00:00,1.0406753549272085
2022-04-24 00:00:00+00:00,1.0408461984464787
2022-04-25 00:00:00+00:00,1.0345497126098246
2022-04-26 00:00:00+00:00,1.0378037516470293
2022-04-27 00:00:00+00:00,1.0397795640848608
2022-04-28 00:00:00+00:00,1.0563525185881772
2022-04-29 00:00:00+00:00,1.0524953866466746
2022-05-01 00:00:00+00:00,1.0536114487126407
2022-05-02 00:00:00+00:00,1.046144877514634
2022-05-03 00:00:00+00:00,1.0466197483818298
2022-05-04 00:00:00+00:00,1.0402277766617816
2022-05-05 00:00:00+00:00,1.0619876934636652
2022-05-06 00:00:00+00:00,1.0631981574625071
2022-05-08 00:00:00+00:00,1.065254573881074
2022-05-09 00:00:00+00:00,1.0652690235929987
2022-05-10 00:00:00+00:00,1.0711526154341053
2022-05-11 00:00:00+00:00,1.0734510127007784
2022-05-12 00:00:00+00:00,1.0806731952181177
2022-05-13 00:00:00+00:00,1.0782541438187625
2022-05-15 00:00:00+00:00,1.0792181357295636
