exit_time,symbol,position,pnl
2022-01-02 00:00:00+00:00,EURUSD,0.0,
2022-01-02 00:00:00+00:00,GBPUSD,0.0,
2022-01-02 00:00:00+00:00,US500,0.0,
2022-01-02 00:00:00+00:00,USDJPY,0.0,
2022-01-02 00:00:00+00:00,XAUUSD,0.0,
2022-01-03 00:00:00+00:00,EURUSD,0.0,
2022-01-03 00:00:00+00:00,GBPUSD,0.0,
2022-01-03 00:00:00+00:00,US500,0.0,
2022-01-03 00:00:00+00:00,USDJPY,0.0,
2022-01-03 00:00:00+00:00,XAUUSD,0.0,
2022-01-04 00:00:00+00:00,EURUSD,0.0,
2022-01-04 00:00:00+00:00,GBPUSD,0.0,
2022-01-04 00:00:00+00:00,US500,0.0,
2022-01-04 00:00:00+00:00,USDJPY,0.0,
2022-01-04 00:00:00+00:00,XAUUSD,0.0,
2022-01-05 00:00:00+00:00,EURUSD,0.0,
2022-01-05 00:00:00+00:00,GBPUSD,0.0,
2022-01-05 00:00:00+00:00,US500,0.0,
2022-01-05 00:00:00+00:00,USDJPY,0.0,
2022-01-05 00:00:00+00:00,XAUUSD,0.0,
2022-01-06 00:00:00+00:00,EURUSD,0.0,
2022-01-06 00:00:00+00:00,GBPUSD,0.0,
2022-01-06 00:00:00+00:00,US500,0.0,
2022-01-06 00:00:00+00:00,USDJPY,0.0,
2022-01-06 00:00:00+00:00,XAUUSD,0.0,
2022-01-07 00:00:00+00:00,EURUSD,0.0,
2022-01-07 00:00:00+00:00,GBPUSD,0.0,
2022-01-07 00:00:00+00:00,US500,0.0,
2022-01-07 00:00:00+00:00,USDJPY,0.0,
2022-01-07 00:00:00+00:00,XAUUSD,0.0,
2022-01-09 00:00:00+00:00,EURUSD,0.0,
2022-01-09 00:00:00+00:00,GBPUSD,0.0,
2022-01-09 00:00:00+00:00,US500,0.0,
2022-01-09 00:00:00+00:00,USDJPY,0.0,
2022-01-09 00:00:00+00:00,XAUUSD,0.0,
2022-01-10 00:00:00+00:00,EURUSD,0.0,
2022-01-10 00:00:00+00:00,GBPUSD,0.0,
2022-01-10 00:00:00+00:00,US500,0.0,
2022-01-10 00:00:00+00:00,USDJPY,0.0,
2022-01-10 00:00:00+00:00,XAUUSD,0.0,
2022-01-11 00:00:00+00:00,EURUSD,0.0,
2022-01-11 00:00:00+00:00,GBPUSD,0.0,
2022-01-11 00:00:00+00:00,US500,0.0,
2022-01-11 00:00:00+00:00,USDJPY,0.0,
2022-01-11 00:00:00+00:00,XAUUSD,0.0,
2022-01-12 00:00:00+00:00,EURUSD,0.0,
2022-01-12 00:00:00+00:00,GBPUSD,0.0,
2022-01-12 00:00:00+00:00,US500,0.0,
2022-01-12 00:00:00+00:00,USDJPY,0.0,
2022-01-12 00:00:00+00:00,XAUUSD,0.0,
2022-01-13 00:00:00+00:00,EURUSD,0.0,
2022-01-13 00:00:00+00:00,GBPUSD,0.0,
2022-01-13 00:00:00+00:00,US500,0.0,
2022-01-13 00:00:00+00:00,USDJPY,0.0,
2022-01-13 00:00:00+00:00,XAUUSD,0.0,
2022-01-14 00:00:00+00:00,EURUSD,0.0,
2022-01-14 00:00:00+00:00,GBPUSD,0.0,
2022-01-14 00:00:00+00:00,US500,0.0,
2022-01-14 00:00:00+00:00,USDJPY,0.0,
2022-01-14 00:00:00+00:00,XAUUSD,0.0,
2022-01-16 00:00:00+00:00,EURUSD,0.0,
2022-01-16 00:00:00+00:00,GBPUSD,0.0,
2022-01-16 00:00:00+00:00,US500,0.0,
2022-01-16 00:00:00+00:00,USDJPY,0.0,
2022-01-16 00:00:00+00:00,XAUUSD,0.0,
2022-01-17 00:00:00+00:00,EURUSD,0.0,
2022-01-17 00:00:00+00:00,GBPUSD,0.0,
2022-01-17 00:00:00+00:00,US500,0.0,
2022-01-17 00:00:00+00:00,USDJPY,0.0,
2022-01-17 00:00:00+00:00,XAUUSD,0.0,
2022-01-18 00:00:00+00:00,EURUSD,0.0,
2022-01-18 00:00:00+00:00,GBPUSD,0.0,
2022-01-18 00:00:00+00:00,US500,0.0,
2022-01-18 00:00:00+00:00,USDJPY,0.0,
2022-01-18 00:00:00+00:00,XAUUSD,0.0,
2022-01-19 00:00:00+00:00,EURUSD,0.0,
2022-01-19 00:00:00+00:00,GBPUSD,0.0,
2022-01-19 00:00:00+00:00,US500,0.0,
2022-01-19 00:00:00+00:00,USDJPY,0.0,
2022-01-19 00:00:00+00:00,XAUUSD,0.0,
2022-01-20 00:00:00+00:00,EURUSD,0.0,
2022-01-20 00:00:00+00:00,GBPUSD,0.0,
2022-01-20 00:00:00+00:00,US500,0.0,
2022-01-20 00:00:00+00:00,USDJPY,0.0,
2022-01-20 00:00:00+00:00,XAUUSD,0.0,
2022-01-21 00:00:00+00:00,EURUSD,0.0,
2022-01-21 00:00:00+00:00,GBPUSD,0.0,
2022-01-21 00:00:00+00:00,US500,0.0,
2022-01-21 00:00:00+00:00,USDJPY,0.0,
2022-01-21 00:00:00+00:00,XAUUSD,0.0,
2022-01-23 00:00:00+00:00,EURUSD,0.0,
