exit_time,symbol,position,pnl
2020-09-30 00:00:00+00:00,EURUSD,0.0,
2020-09-30 00:00:00+00:00,GBPUSD,0.0,
2020-09-30 00:00:00+00:00,US500,0.0,
2020-09-30 00:00:00+00:00,USDJPY,0.0,
2020-09-30 00:00:00+00:00,XAUUSD,0.0,
2020-10-01 00:00:00+00:00,EURUSD,0.0,
2020-10-01 00:00:00+00:00,GBPUSD,0.0,
2020-10-01 00:00:00+00:00,US500,0.0,
2020-10-01 00:00:00+00:00,USDJPY,0.0,
2020-10-01 00:00:00+00:00,XAUUSD,0.0,
2020-10-02 00:00:00+00:00,EURUSD,0.0,
2020-10-02 00:00:00+00:00,GBPUSD,0.0,
2020-10-02 00:00:00+00:00,US500,0.0,
2020-10-02 00:00:00+00:00,USDJPY,0.0,
2020-10-02 00:00:00+00:00,XAUUSD,0.0,
2020-10-04 00:00:00+00:00,EURUSD,0.0,
2020-10-04 00:00:00+00:00,GBPUSD,0.0,
2020-10-04 00:00:00+00:00,US500,0.0,
2020-10-04 00:00:00+00:00,USDJPY,0.0,
2020-10-04 00:00:00+00:00,XAUUSD,0.0,
2020-10-05 00:00:00+00:00,EURUSD,0.0,
2020-10-05 00:00:00+00:00,GBPUSD,0.0,
2020-10-05 00:00:00+00:00,US500,0.0,
2020-10-05 00:00:00+00:00,USDJPY,0.0,
2020-10-05 00:00:00+00:00,XAUUSD,0.0,
2020-10-06 00:00:00+00:00,EURUSD,0.0,
2020-10-06 00:00:00+00:00,GBPUSD,0.0,
2020-10-06 00:00:00+00:00,US500,0.0,
2020-10-06 00:00:00+00:00,USDJPY,0.0,
2020-10-06 00:00:00+00:00,XAUUSD,0.0,
2020-10-07 00:00:00+00:00,EURUSD,0.0,
2020-10-07 00:00:00+00:00,GBPUSD,0.0,
2020-10-07 00:00:00+00:00,US500,0.0,
2020-10-07 00:00:00+00:00,USDJPY,0.0,
2020-10-07 00:00:00+00:00,XAUUSD,0.0,
2020-10-08 00:00:00+00:00,EURUSD,0.0,
2020-10-08 00:00:00+00:00,GBPUSD,0.0,
2020-10-08 00:00:00+00:00,US500,0.0,
2020-10-08 00:00:00+00:00,USDJPY,0.0,
2020-10-08 00:00:00+00:00,XAUUSD,0.0,
2020-10-09 00:00:00+00:00,EURUSD,0.0,
2020-10-09 00:00:00+00:00,GBPUSD,0.0,
2020-10-09 00:00:00+00:00,US500,0.0,
2020-10-09 00:00:00+00:00,USDJPY,0.0,
2020-10-09 00:00:00+00:00,XAUUSD,0.0,
2020-10-11 00:00:00+00:00,EURUSD,0.0,
2020-10-11 00:00:00+00:00,GBPUSD,0.0,
2020-10-11 00:00:00+00:00,US500,0.0,
2020-10-11 00:00:00+00:00,USDJPY,0.0,
2020-10-11 00:00:00+00:00,XAUUSD,0.0,
2020-10-12 00:00:00+00:00,EURUSD,0.0,
2020-10-12 00:00:00+00:00,GBPUSD,0.0,
2020-10-12 00:00:00+00:00,US500,0.0,
2020-10-12 00:00:00+00:00,USDJPY,0.0,
2020-10-12 00:00:00+00:00,XAUUSD,0.0,
2020-10-13 00:00:00+00:00,EURUSD,0.0,
2020-10-13 00:00:00+00:00,GBPUSD,0.0,
2020-10-13 00:00:00+00:00,US500,0.0,
2020-10-13 00:00:00+00:00,USDJPY,0.0,
2020-10-13 00:00:00+00:00,XAUUSD,0.0,
2020-10-14 00:00:00+00:00,EURUSD,0.0,
2020-10-14 00:00:00+00:00,GBPUSD,0.0,
