symbol,position,asof_utc
EURUSD,1.0,2025-09-29T12:07:00.494064+00:00
GBPUSD,1.0,2025-09-29T12:07:00.494064+00:00
USDJPY,-1.0,2025-09-29T12:07:00.494064+00:00
XAUUSD,1.0,2025-09-29T12:07:00.494064+00:00
