symbol,entry_time,exit_time,side,entry_px,exit_px,leverage,ret_gross,signal_date
GBPUSD,2022-01-03 00:00:00+00:00,2022-01-17 00:00:00+00:00,short,1.35209,1.36725,2.107048844445558,-0.023624803438968354,2022-01-02 00:00:00+00:00
GBPUSD,2022-01-17 00:00:00+00:00,2022-01-18 00:00:00+00:00,long,1.36725,1.36469,2.139683145295506,-0.004006281844546977,2022-01-16 00:00:00+00:00
GBPUSD,2022-01-18 00:00:00+00:00,2022-01-21 00:00:00+00:00,short,1.36469,1.35964,2.058628336199232,0.007617900840341846,2022-01-17 00:00:00+00:00
EURUSD,2022-01-27 00:00:00+00:00,2022-02-03 00:00:00+00:00,long,1.12405,1.12992,1.767618378829995,0.00923083482383546,2022-01-26 00:00:00+00:00
EURUSD,2022-02-04 00:00:00+00:00,2022-02-13 00:00:00+00:00,short,1.14352,1.13369,1.3999539789338473,0.012034374224254699,2022-02-03 00:00:00+00:00
GBPUSD,2022-01-21 00:00:00+00:00,2022-02-17 00:00:00+00:00,long,1.35964,1.35811,2.2838603070530676,-0.002570023145679312,2022-01-20 00:00:00+00:00
GBPUSD,2022-02-17 00:00:00+00:00,2022-02-24 00:00:00+00:00,short,1.35811,1.35444,2.245793587625845,0.0060687738596920835,2022-02-16 00:00:00+00:00
GBPUSD,2022-02-24 00:00:00+00:00,2022-03-08 00:00:00+00:00,long,1.35444,1.31129,1.755518879515305,-0.055927645116125795,2022-02-23 00:00:00+00:00
EURUSD,2022-02-25 00:00:00+00:00,2022-03-09 00:00:00+00:00,long,1.11906,1.08984,1.4564906390252081,-0.0380307190609231,2022-02-24 00:00:00+00:00
EURUSD,2022-03-11 00:00:00+00:00,2022-03-20 00:00:00+00:00,long,1.10132,1.10561,1.1662760007087325,0.004543024773036396,2022-03-10 00:00:00+00:00
EURUSD,2022-03-30 00:00:00+00:00,2022-04-03 00:00:00+00:00,short,1.1091,1.10301,1.0404439631416313,0.005713013917169258,2022-03-29 00:00:00+00:00
EURUSD,2022-04-06 00:00:00+00:00,2022-04-18 00:00:00+00:00,long,1.09058,1.08138,1.09164664089365,-0.009208998052615743,2022-04-05 00:00:00+00:00
EURUSD,2022-04-19 00:00:00+00:00,2022-04-26 00:00:00+00:00,long,1.07799,1.07124,1.4903272484879975,-0.009331913030078156,2022-04-18 00:00:00+00:00
XAUUSD,2022-01-03 00:00:00+00:00,2022-05-11 00:00:00+00:00,long,1828.294,1833.463,1.3520137827648253,0.0038224482731502997,2022-01-02 00:00:00+00:00
XAUUSD,2022-05-11 00:00:00+00:00,2022-11-11 00:00:00+00:00,short,1833.463,1751.947,0.7409990112557331,0.03294491102439609,2022-05-10 00:00:00+00:00
EURUSD,2022-04-26 00:00:00+00:00,2022-11-13 00:00:00+00:00,short,1.07124,1.03354,1.4527117349566339,0.051125081595034975,2022-04-25 00:00:00+00:00
GBPUSD,2022-03-08 00:00:00+00:00,2022-11-23 00:00:00+00:00,short,1.31129,1.1893,1.568466336126433,0.14591525013083578,2022-03-07 00:00:00+00:00
GBPUSD,2022-11-23 00:00:00+00:00,2022-11-24 00:00:00+00:00,long,1.1893,1.20756,0.5968675591544242,0.009164047448213048,2022-11-22 00:00:00+00:00
GBPUSD,2022-11-24 00:00:00+00:00,2022-12-06 00:00:00+00:00,short,1.20756,1.21916,0.5969989389678355,-0.005734860124571002,2022-11-23 00:00:00+00:00
USDJPY,2022-01-03 00:00:00+00:00,2022-12-06 00:00:00+00:00,long,115.14,136.576,2.810019355282016,0.5231507286766136,2022-01-02 00:00:00+00:00
GBPUSD,2022-12-06 00:00:00+00:00,2022-12-08 00:00:00+00:00,long,1.21916,1.22089,0.6027223722301109,0.0008552689589209294,2022-12-05 00:00:00+00:00
USDJPY,2022-12-06 00:00:00+00:00,2022-12-08 00:00:00+00:00,short,136.576,136.378,0.6466359331854238,0.0009374554443732307,2022-12-05 00:00:00+00:00
USDJPY,2022-12-08 00:00:00+00:00,2022-12-13 00:00:00+00:00,long,136.378,137.511,0.6490560107418617,0.005392222060526898,2022-12-07 00:00:00+00:00
USDJPY,2022-12-13 00:00:00+00:00,2022-12-14 00:00:00+00:00,short,137.511,135.573,0.6406566741134666,0.009029042290666848,2022-12-12 00:00:00+00:00
GBPUSD,2022-12-08 00:00:00+00:00,2022-12-16 00:00:00+00:00,short,1.22089,1.21902,0.6657054525267208,0.0010196407507842456,2022-12-07 00:00:00+00:00
USDJPY,2022-12-14 00:00:00+00:00,2022-12-18 00:00:00+00:00,long,135.573,135.813,0.6492562721993611,0.001149354999357028,2022-12-13 00:00:00+00:00
USDJPY,2022-12-18 00:00:00+00:00,2022-12-21 00:00:00+00:00,short,135.813,131.89,0.7849199939213828,0.022672653841337657,2022-12-16 00:00:00+00:00
