asof_utc,out_prefix,equity_csv,orders_csv,positions_csv,nav,gross_cap,mtd_return,mt5_px_warn,mt5_pos_diff
2025-09-29 18:58:41,DAILY_20250929,C:\Users\speed\Desktop\Forex CFD's system\data\DAILY_20250929_equity.csv,C:\Users\speed\Desktop\Forex CFD's system\signals\orders.csv,C:\Users\speed\Desktop\Forex CFD's system\signals\positions.csv,1000000.0,3.0,-0.0117846135805411,2,5
2025-09-29 20:02:30,DAILY_20250929,C:\Users\speed\Desktop\Forex CFD's system\data\DAILY_20250929_equity.csv,C:\Users\speed\Desktop\Forex CFD's system\signals\orders.csv,C:\Users\speed\Desktop\Forex CFD's system\signals\positions.csv,1000000.0,3.0,-0.0117846135805411,0,0
2025-09-29 20:03:08,DAILY_20250929,C:\Users\speed\Desktop\Forex CFD's system\data\DAILY_20250929_equity.csv,C:\Users\speed\Desktop\Forex CFD's system\signals\orders.csv,C:\Users\speed\Desktop\Forex CFD's system\signals\positions.csv,1000000.0,3.0,-0.0117846135805411,2,5
2025-09-29 20:04:02,DAILY_20250929,C:\Users\speed\Desktop\Forex CFD's system\data\DAILY_20250929_equity.csv,C:\Users\speed\Desktop\Forex CFD's system\signals\orders.csv,C:\Users\speed\Desktop\Forex CFD's system\signals\positions.csv,1000000.0,3.0,-0.0117846135805411,0,0
2025-09-29 20:04:28,DAILY_20250929,C:\Users\speed\Desktop\Forex CFD's system\data\DAILY_20250929_equity.csv,C:\Users\speed\Desktop\Forex CFD's system\signals\orders.csv,C:\Users\speed\Desktop\Forex CFD's system\signals\positions.csv,1000000.0,3.0,-0.0117846135805411,0,0
2025-09-29 20:04:56,DAILY_20250929,C:\Users\speed\Desktop\Forex CFD's system\data\DAILY_20250929_equity.csv,C:\Users\speed\Desktop\Forex CFD's system\signals\orders.csv,C:\Users\speed\Desktop\Forex CFD's system\signals\positions.csv,1000000.0,3.0,-0.0117846135805411,2,5
2025-09-29 20:05:53,DAILY_20250929,C:\Users\speed\Desktop\Forex CFD's system\data\DAILY_20250929_equity.csv,C:\Users\speed\Desktop\Forex CFD's system\signals\orders.csv,C:\Users\speed\Desktop\Forex CFD's system\signals\positions.csv,1000000.0,3.0,-0.0117846135805411,2,5
2025-09-29 20:48:03,DAILY_20250929,C:\Users\speed\Desktop\Forex CFD's system\data\DAILY_20250929_equity.csv,C:\Users\speed\Desktop\Forex CFD's system\signals\orders.csv,C:\Users\speed\Desktop\Forex CFD's system\signals\positions.csv,1000000.0,3.0,-0.0117846135805411,0,5
2025-09-29 20:48:29,DAILY_20250929,C:\Users\speed\Desktop\Forex CFD's system\data\DAILY_20250929_equity.csv,C:\Users\speed\Desktop\Forex CFD's system\signals\orders.csv,C:\Users\speed\Desktop\Forex CFD's system\signals\positions.csv,1000000.0,3.0,-0.0117846135805411,0,5
2025-09-29 20:49:51,DAILY_20250929,C:\Users\speed\Desktop\Forex CFD's system\data\DAILY_20250929_equity.csv,C:\Users\speed\Desktop\Forex CFD's system\signals\orders.csv,C:\Users\speed\Desktop\Forex CFD's system\signals\positions.csv,1000000.0,3.0,-0.0117846135805411,0,5
2025-09-29 20:50:32,DAILY_20250929,C:\Users\speed\Desktop\Forex CFD's system\data\DAILY_20250929_equity.csv,C:\Users\speed\Desktop\Forex CFD's system\signals\orders.csv,C:\Users\speed\Desktop\Forex CFD's system\signals\positions.csv,1000000.0,3.0,-0.0117846135805411,0,5
2025-09-30 13:48:00,DAILY_20250930,C:\Users\speed\Desktop\Forex CFD's system\data\DAILY_20250930_equity.csv,C:\Users\speed\Desktop\Forex CFD's system\signals\orders.csv,C:\Users\speed\Desktop\Forex CFD's system\signals\positions.csv,1000000.0,3.0,-0.0070375525691609,0,5
2025-09-30 14:51:49,DAILY_20250930,C:\Users\speed\Desktop\Forex CFD's system\data\DAILY_20250930_equity.csv,C:\Users\speed\Desktop\Forex CFD's system\signals\orders.csv,C:\Users\speed\Desktop\Forex CFD's system\signals\positions.csv,1000000.0,3.0,-0.0077955918107678,0,5
2025-09-30 15:12:26,DAILY_20250930,C:\Users\speed\Desktop\Forex CFD's system\data\DAILY_20250930_equity.csv,C:\Users\speed\Desktop\Forex CFD's system\signals\orders.csv,C:\Users\speed\Desktop\Forex CFD's system\signals\positions.csv,1000000.0,3.0,-0.0077955918107678,0,4
2025-09-30 16:28:05,DAILY_20250930,C:\Users\speed\Desktop\Forex CFD's system\data\DAILY_20250930_equity.csv,C:\Users\speed\Desktop\Forex CFD's system\signals\orders.csv,C:\Users\speed\Desktop\Forex CFD's system\signals\positions.csv,1000000.0,3.0,-0.007795591810767832,0,4
